Sentence,polit
House Republicans voted on Friday to elevate Rep.,2
Elise Stefanik?to the No. 3 leadership position of conference chair after ousting Rep,2
Liz Cheney from the role because she repeatedly called out?former President Donald Trump's "Big Lie"?that the 2020 election was stolen.,2
"but his candidacy was viewed as a long-shot, and the New York congresswoman had the backing of House GOP leader Kevin McCarthy, Minority Whip Steve Scalise and Trump.",2
"The final result was 134 votes for Stefanik and 46 for Roy,",2
The congresswoman?said in a statement after the vote?that she is "honored and humbled" to be elected to the leadership post.,2
"""House Republicans are united in our focus to fight on behalf of the American people to save our country from the radical Socialist Democrat agenda,"" she said.",2
Stefanik's rise within the ranks of House GOP leadership and Cheney's removal starkly?underscores the Republican Party's entrenched loyalty?to the former President and the limited extent to which it is willing to tolerate dissent even after Trump's election lies incited a deadly attack on the US Capitol on January 6.,2
"Amid Trump's false claims over voter fraud, Stefanik supported an objection during the Electoral College vote count to affirm President Joe Biden's win.",2
She also signed on in support of an amicus brief backing a lawsuit from Texas to the Supreme Court that sought to overturn the results of the election in several states.,2
Trump stood by Stefanik in her run for the leadership post and weighed in on Roy's late entry into the race Thursday evening with a statement slamming the congressman and reiterating his support for the congresswoman.,2
"""Can't imagine Republican House Members would go with Chip Roy",2
Stefanik has made a pitch to House Republicans that she will help deliver on a message of unity and united opposition to Democrats in Congress and in the White House as the party works to win back the House majority in 2022.,2
"McCarthy congratulated Stefanik on her election at a news conference after the vote, before pivoting to criticism of Democrats.",2
adding that Republicans had "a healthy debate and a good election.",2
Stefanik did face pushback from some conservative House Republicans in her bid for leadership.,2
The congresswoman represents a district that pivoted in the past from voting for former President Barack Obama to Trump and she has long been known on Capitol Hill as a more moderate Republican.,2
"And while the congresswoman has made a name for herself as an ardent Trump supporter in recent years, that wasn't always the case.",2
Stefanik talks with US Rep. Will Hurd in July 2019 as former special counsel Robert Mueller testified to the House Intelligence Committee about his investigation into Russian interference in the 2016 election.,2
"In 2015, 2016 and the early days of his term in office,?she criticized Trump on a range of issues?from his incendiary comments about Muslims and women to his signature policy positions",2
"?such as overhauling NATO, building a US-Mexico border wall and having stronger cooperation with Russia.",2
"?she criticized Trump on a range of issues?from his incendiary comments about Muslims and women to his signature policy positions,",2
"such as overhauling NATO, building a US-Mexico border wall and having stronger cooperation with Russia.",2
"Stefanik emerged as one of the President's most outspoken defenders, taking on Democrats and earning Trump's praise as ""a new Republican star.""",2
"Cheney, on the other hand, is known as a more conservative Republican, but she has also?become a major Trump critic.?",2
She voted to impeach Trump for inciting the January 6 attack on the Capitol and has continued to speak out against his election lies.,2
"Before the vote, the Wyoming Republican called out Trump and other Republicans who aided his efforts to overturn his loss and warned,",2
"""we cannot let the former president drag us backward and make us complicit in his efforts to unravel our democracy.""",2
"The House Freedom Caucus, a group of Trump-aligned far-right Republicans held a forum with Stefanik on Wednesday evening,?",2
"""My message was I'm focused on unifying the conference and beating Democrats and we have an opportunity to do that,",2
Stefanik also met this week with the conservative Republican Study Committee in her efforts to win over the conference.?,2
"?That group is led by Jim Banks, an Indiana Republican who was seen early on as a potential contender in the race, but never entered.",2
Stefanik has signaled to some colleagues that she plans to stay in leadership and as chair of the House GOP Conference only through 2022,2
wanting to pursue the top GOP job on the House Education and Labor Committee next Congress,2
"After years of encouraging Democrats and voters to take a meritocratic approach when evaluating candidates for office,?",2
Republicans are coming under fire for insisting that ousted House GOP Conference Chair?Liz Cheney?must be replaced by another woman.,2
Before the Wyoming congresswoman was booted from her leadership post in a vote on Wednesday,2
House Republicans had sent out clear signals that her successor would need to be a woman.,2
"Male members who had reportedly been interested in the role, such as Republican Study Committee Chairman Jim Banks of Indiana,",2
"Soon, party leaders settled on Stefanik, a millennial congresswoman whose profile rose in late 2019 amid her fervent defense of then-President Donald Trump during his first impeachment inquiry.",2
"Born out of what leadership saw as a political necessity given the party's precarious position with women voters,",2
"?Even in conversations between House Minority Leader Kevin McCarthy and Trump,",2
"The former President eventually offered a public endorsement, describing Stefanik as a ""gifted communicator"" in a statement on Monday.",2
"""They thought it was going to do damage in the media if they tapped a man for the job,"" said one top Trump ally,",2
describing discussions that occurred around Cheney's ouster between the former President and House Republicans.,2
"Instead, the hurried push to install Stefanik as GOP chair -- a vote that is expected to come on Friday",2
"?in this case, preventing the party from having three men occupy its House leadership ranks -- over ideological consistency.",2
We're almost at the anniversary of Joe Biden saying he needs to pick a woman as a running mate.,2
"This is what the Democrats always do and I'm against it,"" said the top Trump ally.",2
"""No GOP woman cares about identity politics!",2
?the Washington Post's Jennifer Rubin contended that the "most obvious reason" Republicans had settled on Stefanik,2
"whose voting record has raised eyebrows among the party's most conservative members,",2
"""is because the party -- though it supposedly abhors identity politics -- needs a skirt to hide behind as it jettisons a strong, independent-minded female colleague.""",2
One House GOP staffer agreed with Rubin's assessment.?,2
"?The anointing of Stefanik, this staffer said, represented ""rank hypocrisy"" inside the party, noting that Republicans have often cast quotas that are aimed at addressing gender diversity inside American companies",2
"presidential Cabinets, and other institutions as pandering or empty symbolism.",2
"We can't consider these other candidates, who are more attuned to what our constituents want, because they are men",2
Top Democrats have also seized on the GOP's push to swap Stefanik in for Cheney.?,2
the California Democrat accused Republican leaders McCarthy and House Minority Whip Steve Scalise of seeking to replace Cheney with "a woman who isn't a 'threat' to them.",2
"To be sure, not every House Republican has supported the Stefanik-for-Cheney leadership swap.",2
"Efforts to coronate Stefanik as incoming conference chair come as the GOP finds itself in perilous territory with female voters,",2
?who contributed to the Democratic Party's suburban gains in the 2020 election and could stymie Republican hopes of retaking the House next fall if the relationship remains strained.,2
Republicans need to flip at least five seats to take over the lower chamber,2
and some worry that Cheney's orchestrated removal from leadership will further alienate women right as the party is ramping up for its critical midterm push.,2
?if the reaction to Stefanik among conservative House Republicans is any indication.,2
and urged Republicans to consider leaving the position of conference chair open if the party can't coalesce behind "someone who reflects our conservative values.",2
?Roy and other?conservative skeptics?have cited Stefanik's votes against the House GOP's 2017 Tax Cuts and Jobs Act and the Trump administration's request to use emergency funds for border wall construction as red flags.,2
They have also pointed to her sharp criticism of Trump over his withdrawal from the Paris Climate Agreement and rhetoric on trade.,2
"""The lack of any challenger doesn't remove any questions I have about her voting record and whether her positions are going to interfere with our ability to look to message for the conference,""?",2
"Rep. Ben Cline of Virginia, a member of the House Freedom Caucus, where Stefanik's voting record and past criticism of Trump has become a source of consternation in recent days, told CNN on Wednesday.",2
"?It is not yet clear if his candidacy would pose a significant threat to Stefanik, who has privately suggested she would only serve in the role through 2022 and has already received the backing of McCarthy, Trump and Scalise, the second-ranking House Republican.",2
