Sentence,polit,
President Joe Biden signed an executive order Wednesday meant to better protect the nation from cyberattacks,2,
"but even as he signed it, the White House acknowledged more will need to be done to prevent the type of hack that affected the Colonial Pipeline",2,
"That attack, which temporarily shut down the pipeline supplying fuel to the eastern United States this week",2,
caused gas stations to run dry and gas prices to spike as Americans flocked to the pumps in a spurt of panic buying.,2,
"Instead, officials described the order -- months in the making -- as an initial step toward hardening the systems and software that underpin the country's basic functions",2,
"Going forward, Congress will need to act to require the private companies that control much of the nation's critical infrastructure to do the same.",2,
The order would require new standards on software used by the federal government,2,
 The government plans to roll out a rating system akin to restaurant health grades to rank products based on their cybersecurity,2,
A senior administration official likened the new requirements and labeling to purchasing a minivan with reliable ratings or building an earthquake-proof building in an area prone to seismic activity,2,
"The growing number and impact of incidents show us software security has to be a basic design consideration, the official said",2,
The order would also create new protocols following a hack,2,
requiring agencies and companies to share information with the federal government in the hopes of preventing the incident from spreading,2,
A new panel will be created to review cybersecurity incidents similar to the transportation board that investigates plane crashes.,2,
The order is limited to products and companies used by the federal government,2,
But administration officials said they were hopeful the government's vast purchasing power would spur other companies to follow suit in order to remain competitive,2,
 And many of the products used by the government -- including Microsoft's Outlook platform and Juniper's networking products -- are used widely in the private sector,2,
The order comes after a string of cyber incidents caused widespread disruption in the United States,2,
"They include the SolarWinds breach, which allowed hackers sponsored by Russia's intelligence service access to US government agencies",2,
Microsoft Exchange vulnerabilities exposed earlier this year,2,
"and the Colonial Pipeline ransomware attack, which has caused fuel supply disruptions in the southeastern United States.",2,
A senior administration official said those incidents shared commonalities,2,
 including poor software security and "a laissez-faire attitude toward cybersecurity.",2,
"For too long we've failed to take steps to modernize our cybersecurity defenses because doing so takes time, effort and money. Instead we've accepted we'll move from one incident response to the next, the official said.",2,
"Still, officials acknowledged that companies like Colonial Pipeline will not necessarily be subject to the requirements for federal contractors, even if the trickle-down effect on software would apply to their networks.",2,
"Instead, an official expressed hope that both private companies like Colonial and lawmakers looking to draft cybersecurity legislation would look to the new executive order as establishing ""goalposts"" for further action.",2,
Republican leaders say they told President Joe Biden on Wednesday that they're drawing a "red line" on hiking certain taxes to fund the President's infrastructure spending proposal,2,
an anticipated hurdle that has arisen during a crucial week for the White House's infrastructure priorities.,2,
The discussion between the GOP leaders and Biden took place during the President's first bipartisan meeting with the top four members of congressional leadership at the White House.,2,
Meeting attendees included Vice President Kamala Harris,2,
"House Speaker Nancy Pelosi, a California Democrat; Senate Majority Leader Chuck Schumer, a New York Democrat",2,
"Senate Minority Leader Mitch McConnell, a Kentucky Republican; and House Minority Leader Kevin McCarthy, a California Republican.",2,
"After the meeting, McConnell and McCarthy told reporters that almost all of their hour-and-a-half meeting was about infrastructure and that they both made clear that they're not willing to budge on the 2017 tax cuts signed into law by former President Donald Trump, calling the issue the GOP's ""red line.""",2,
"I think that it is safe to say there is certainly a bipartisan desire to get an outcome, McConnell said.",2,
"Clearly, Senate Republicans are not interested in revisiting the 2017 tax bill. I think the President and the vice president understand that.",2,
He also said individuals in the room agreed that they'd next work on how they would be defining infrastructure.,2,
McCarthy argued that "raising taxes would be the biggest mistake you could make.",2,
"""You won't find any Republican that will go and raise taxes and that's the worst thing you can do in the economy -- when you are watching inflation, gas prices are going up,",2,
" and it has not been this high since President Biden was vice president,"" McCarthy said.",2,
"In an interview Wednesday after the meeting, Biden told MSNBC he'll try passing aspects of his infrastructure bill without Republicans if they cannot garner bipartisan support",2,
"He said he wasn't willing to abandon priorities like expanded child care, even if Republicans don't want them included in an infrastructure bill.",2,
"We're going to fight those out. I want to know what we can agree on, and let's see if we can get an agreement, kick start this.",2,
"And then fight over what's left and see if I can get it done without Republicans if need be,"" he said in a clip thata aired on Wednesday.",2,
He said the issue of how the infrastructure bill would be paid for did not arise,2,
and instead centered on what should be labeled "infrastructure" -- and what the two sides could agree to pass as such.,2,
"I got into what constitutes infrastructure. And I want to make it clear: I want to get a bipartisan deal on as much as we can get a bipartisan deal on. And that means roads, bridges, broadband, infrastructure, Biden said.",2,
"But I'm not giving up on the fact we have 2 million women not able to go back to work because all the daycare centers are closed, out of business, so they can't go back to work.",2,
" I'm not going to give up on a whole range of things that go to the question of productivity, increasing jobs, increasing employment, increasing revenues. I'm not willing to give up on that.""",2,
Liz Cheney lost her position in the House Republican leadership for repeatedly publicly rejecting former President Donald Trump's lie that he won the 2020 presidential election,2,
The House Republican Conference is expected to replace Cheney with New York Rep,2,
"Elise Stefanik, who has a less conservative voting record than Cheney but has emerged as one of Trump's top defenders.",2,
"Wednesday's meeting marked McConnell and McCarthy's first time in the West Wing since Biden took office, ",2,
according to an administration official,2,
While Biden has kept up public promises to find bipartisan areas to compromise,2,
both McConnell and McCarthy have -- at least publicly -- largely promised they'd do everything to stop Biden's agenda.,2,
That opposition has taken different forms -- McCarthy voted against certifying Biden's win in the Electoral College in the hours after the January 6 riot at the White House and McConnell has said publicly that "100% of my focus is on stopping this new administration.",2,
"But those topics, as well as the ouster within the House Republican Conference, were not on the agenda.",2,
"And following their time in the Oval Office, none of the parties had indicated those political issues were brought up.",2,
 McCarthy mentioned that the group briefly discussed the violence that has erupted between Israel and Palestinians.,2,
"The meeting was ""businesslike,"" according to one official, with each participant getting to make their case on their views of an infrastructure bill",2,
"several exchanges on specific policy issues and what could be included in any package, but no clear pathway forward beyond continuing discussions.",2,
"This isn't like the last four years, and I don't think anyone expected it would be, the official said,",2,
in a nod to the explosive meetings between former President Donald Trump and Democratic leaders. ,2,
There wasn't a lot of overt political talk -- just a focus on where each side stood.,2,
"The position laid out by Republicans underscored that the two sides remain far apart on a myriad of issues, the official said.",2,
"There was agreement, however, that the discussions needed to continue as they sought to narrow down areas of potential agreement.",2,
While the discussions were characterized by participants as productive -- Biden said he came away from them as "encouraged",2,
" McConnell and McCarthy made clear several times to Biden and their Democratic counterparts that the tax increases proposed by Biden were non-starters, a separate official said",2,
"Beyond that, the issue of how to pay for the proposals -- by far the thorniest issue at play -- wasn't a primary focus of the discussions.",2,
McConnell made clear that beyond the tax issue,2,
"Republicans would only agree to discuss physical infrastructure including roads, bridges and broadband.",2,
"He also pressed Biden to move any potential bill through regular order in Congress -- a committee process, followed by floor consideration",2,
That exhortation comes after Biden's massive Covid relief bill moved through Congress using reconciliation,2,
a process that allowed it to pass with only Democratic support.,2,
"Separately, McConnell brought up concerns he's raised publicly related to inflation and the effect of the expanded unemployment benefits on hiring, the official said.",2,
No one at the White House was under any illusions that a deal would be struck on any major issue during the first joint meeting between Biden and the four congressional leaders,2,
but the President saw it as an important avenue for reaching out across the aisle,2,
"The President has been clear from as far back as his campaign that he believes these discussions and engagements are important in and of themselves,",2,
a senior White House official said ahead of the meeting.,2,
"Even though Wednesday's meeting is the big ticket item this week, the White House is equally -- if not more -- focused on Thursday's meeting with Sen.",2,
Shelley Moore Capito of West Virginia and other Republican senators as an avenue for progress on infrastructure.,2,
"In recent days, the White House has intensified its negotiations with members of Congress over Biden's broad spending proposals. ",2,
"Members of the administration have said they have a goal of seeing real progress on infrastructure legislation by Memorial Day, which is just about two-and-a-half weeks away.",2,
"White House staff held a series of internal meetings over the weekend to prepare for this week's meetings and have stayed in close contact with lawmakers and congressional staff on infrastructure, a White House official said.",2,
Transportation Secretary Pete Buttigieg has worked the phones with daily calls to lawmakers to discuss the administration's proposals,2,
"Energy Secretary Jennifer Granholm this week is courting bipartisan members of Congress,",2,
"governors, and stakeholders in the labor and business sectors, another official told CNN.",2,
Biden is meeting with several members of Congress this week to move his plans on infrastructure forward.,2,
"He met with key moderates, West Virginia Democratic Sen. Joe Manchin and Arizona Democratic Sen.",2,
"Kyrsten Sinema, at the White House earlier this week, as well as longtime ally Sen.",2,
"Tom Carper, a Delaware Democrat who has worked with Biden for decades.",2,
"Manchin and Sinema are key votes, as both Democrats oppose changing the Senate's rules to allow legislation to pass with a simple majority instead of the required 60-vote threshold needed to end debate",2,
which could greatly affect the size and scope of the President's legislative agenda.,2,
"For a month, Meybelin has lived in a massive convention center located in the heart of San Diego. ",2,
"There, along with hundreds of other migrant children, she waits day in and day out to be released to a relative in the United States,",2,
 frequently calling her parents in El Salvador distraught about the prolonged wait.,2,
"Meybelin, 17, is one of the more than 20,000 minors in the custody of the Department of Health and Human Services as a result of a record number of unaccompanied children and teenagers arriving at the US southern border this year.",2,
"The Biden administration has scrambled to assist the department's already-strained resources and are using a host of novel locations, like convention centers, to shelter minors.",2,
While the administration has made inroads in quickly transferring children out of jail-like Border Patrol facilities,2,
it now faces another daunting challenge: reuniting an unprecedented number of children with family or guardians in the United States.,2,
"In more than 80% of cases, children who cross the US-Mexico border alone have a family member in the US",2,
according to the Department of Homeland Security. But getting them to those relatives is a timely and often arduous process.,2,
Officials have been grappling with the situation along the US-Mexico border and its ramifications since the early days of the administration,2,
"as an increasing number of migrants, particularly children, arrived.",2,
The administration faced swift criticism from both sides of the aisle for their handling of the border.,2,
"Republicans seized on Biden's immigration policies, arguing they're encouraging migrants to journey north,",2,
while immigrant advocates slammed officials for continuing to rely on a Trump-era policy that allows the swift expulsion of single adults and families attempting to illegally cross the US southern border.,2,
"On Thursday, Homeland Security Secretary Alejandro Mayorkas is testifying before the Senate Homeland Security Committee on the actions that have been taken to address the influx of minors at the US-Mexico border.",2,
"For now, border arrests appear to have leveled off, but hurdles remain.",2,
" including the San Diego site, for the number of children in care, as well as an ongoing need to continue building bed capacity for children.",2,
